iter	Passed	Remaining
639	313118	1154623
640	313605	1154127
641	314134	1153784
642	314632	1153325
643	315144	1152919
644	315657	1152518
645	316172	1152121
646	316668	1151655
647	317095	1150939
648	317634	1150629
649	318144	1150216
650	318651	1149788
651	319149	1149329
652	319697	1149049
653	320201	1148612
654	320731	1148267
655	321229	1147806
656	321699	1147246
657	322196	1146783
658	322717	1146404
659	323208	1145922
660	323691	1145408
661	324160	1144844
662	324614	1144228
663	325103	1143738
664	325473	1142826
665	326003	1142482
666	326377	1141586
667	326873	1141120
668	327290	1140378
669	327774	1139874
670	328221	1139237
671	328751	1138887
672	329229	1138361
673	329729	1137909
674	330221	1137429
675	330640	1136697
676	331167	1136339
677	331620	1135726
678	331953	1134704
679	332493	1134389
680	332649	1132767
681	333100	1132152
682	333557	1131557
683	334109	1131281
684	334669	1131037
685	335204	1130703
686	335666	1130125
687	336206	1129808
688	336698	1129331
689	337184	1128833
690	337628	1128198
691	338083	1127595
692	338603	1127213
693	339083	1126695
694	339579	1126232
695	340006	1125539
696	340500	1125069
697	340992	1124590
698	341461	1124039
699	341951	1123556
700	342383	1122880
701	342837	1122278
702	343228	1121474
703	343711	1120967
704	344194	1120461
705	344682	1119973
706	345166	1119472
707	345594	1118789
708	345977	1117961
709	346428	1117353
710	346908	1116840
711	347399	1116362
712	347836	1115712
713	348326	1115229
714	348822	1114767
715	349269	1114151
716	349729	1113572
717	350211	1113067
718	350733	1112687
719	351218	1112192
720	351701	1111689
721	352177	1111165
722	352631	1110571
723	353153	1110190
724	353642	1109705
725	354049	1108963
726	354421	1108116
727	354942	1107733
728	355425	1107231
729	355875	1106627
730	356366	1106151
731	356854	1105664
732	357332	1105148
733	357805	1104613
734	358285	1104105
735	358786	1103659
736	359276	1103180
737	359806	1102821
738	360225	1102123
739	360710	1101630
740	361170	1101057
741	361617	1100449
742	362105	1099962
743	362558	1099372
744	363052	1098904
745	363516	1098346
746	364001	1097852
747	364484	1097352
748	364915	1096694
749	365403	1096210
750	365818	1095506
751	366260	1094884
752	366757	1094428
753	367218	1093862
754	367738	1093473
755	368210	1092941
756	368665	1092359
757	369109	1091745
758	369545	1091109
759	370023	1090594
760	370527	1090158
761	371027	1089711
762	371494	1089164
763	371982	1088680
764	372488	1088249
765	372975	1087763
766	373510	1087417
767	374010	1086967
768	374499	1086487
769	374969	1085949
770	375437	1085410
771	375922	1084915
772	376407	1084422
773	376902	1083958
774	377397	1083494
775	377896	1083043
776	378369	1082515
777	378845	1081999
778	379345	1081547
779	379827	1081047
780	380268	1080429
781	380825	1080142
782	381291	1079594
783	381779	1079112
784	382285	1078678
785	382796	1078258
786	383260	1077706
787	383761	1077260
788	384192	1076616
789	384696	1076177
790	385223	1075802
791	385787	1075529
792	386285	1075071
793	386807	1074682
794	387207	1073953
795	387697	1073473
796	388218	1073082
797	388764	1072756
798	389235	1072224
799	389720	1071730
800	390214	1071263
801	390672	1070697
802	391191	1070294
803	391606	1069612
804	392199	1069413
805	392795	1069222
806	393200	1068511
807	393796	1068318
808	394346	1068002
809	394849	1067556
810	395347	1067098
811	395867	1066697
812	396288	1066029
813	396776	1065545
814	397283	1065108
815	397762	1064599
816	398284	1064204
817	398775	1063726
818	399266	1063247
819	399777	1062824
820	400265	1062338
821	400723	1061770
822	401186	1061217
823	401646	1060658
824	402090	1060057
825	402592	1059607
826	403111	1059202
827	403193	1057652
828	403672	1057145
829	404092	1056483
830	404583	1056006
831	405098	1055593
832	405568	1055063
833	406040	1054537
834	406532	1054063
835	406687	1052716
836	407135	1052132
837	407619	1051637
838	408090	1051112
839	408563	1050592
840	409042	1050085
841	409526	1049595
842	410050	1049204
843	410496	1048615
844	410998	1048168
845	411490	1047695
846	411988	1047238
847	412443	1046672
848	412887	1046079
849	413383	1045617
850	413870	1045131
851	414363	1044664
852	414445	1043158
853	414928	1042666
854	415408	1042164
855	415896	1041684
856	416384	1041204
857	416837	1040636
858	417316	1040133
859	417851	1039770
860	418270	1039118
861	418774	1038676
862	419229	1038114
863	419744	1037702
864	420231	1037218
865	420631	1036521
866	421133	1036075
867	421625	1035604
868	422075	1035032
869	422498	1034393
870	422994	1033933
871	423428	1033320
872	423949	1032921
873	424449	1032471
874	424941	1032001
875	425528	1031761
876	426003	1031248
877	426517	1030830
878	426953	1030226
879	427416	1029685
880	427906	1029209
881	428399	1028741
882	428944	1028399
883	429420	1027888
884	429869	1027314
885	430355	1026830
886	430876	1026427
887	431361	1025940
888	431863	1025493
889	432350	1025011
890	432868	1024600
891	433286	1023955
892	433744	1023403
893	434263	1022995
894	434703	1022402
895	435159	1021848
896	435619	1021301
897	436032	1020646
898	436541	1020216
899	437027	1019730
900	437518	1019258
901	437973	1018700
902	438438	1018167
903	438945	1017731
904	439410	1017198
905	439853	1016615
906	440322	1016092
907	440768	1015515
908	441307	1015152
909	441782	1014643
910	442221	1014050
911	442667	1013474
912	443166	1013022
913	443646	1012524
914	444109	1011987
915	444603	1011522
916	445084	1011026
917	445586	1010579
918	446063	1010074
919	446603	1009712
920	447102	1009258
921	447624	1008854
922	448077	1008296
923	448543	1007765
924	448964	1007135
925	449472	1006702
926	449941	1006179
927	450469	1005788
928	450943	1005279
929	451449	1004838
930	451966	1004424
931	452469	1003976
932	452998	1003587
933	453507	1003154
934	454030	1002750
935	454589	1002427
936	455100	1001997
937	455636	1001623
938	456123	1001141
939	456612	1000662
940	457010	999984
941	457458	999416
942	457847	998719
943	458267	998090
944	458751	997602
945	459227	997095
946	459722	996632
947	460155	996032
948	460630	995524
949	461182	995183
950	461701	994769
951	462200	994312
952	462687	993832
953	463190	993382
954	463723	992999
955	464232	992563
956	464670	991976
957	465137	991450
958	465566	990845
959	465972	990190
960	466477	989747
961	466926	989184
962	467399	988673
963	467823	988058
964	468264	987480
965	468783	987065
966	469306	986660
967	469755	986098
968	470245	985622
969	470654	984977
970	471179	984576
971	471630	984018
